Hugo_Symbol,Feature_1,Feature_2,n_mutated_Feature1,n_mutated_Feature2,fdr
ASXL1,REC,PT,8 of 67,11 of 77,1
RELN,PT,LNM,10 of 77,8 of 57,1
RELN,REC,LNM,8 of 67,8 of 57,1
RELN,REC,PT,8 of 67,10 of 77,1
RANBP2,PT,LNM,9 of 77,7 of 57,1
RANBP2,REC,LNM,7 of 67,7 of 57,1
RANBP2,REC,PT,7 of 67,9 of 77,1
NOTCH2,PT,LNM,9 of 77,7 of 57,1
NOTCH2,REC,LNM,7 of 67,7 of 57,1
NOTCH2,REC,PT,7 of 67,9 of 77,1
ATM,PT,LNM,8 of 77,5 of 57,1
ATM,REC,LNM,8 of 67,5 of 57,1
ATM,REC,PT,8 of 67,8 of 77,1
IGF2R,PT,LNM,8 of 77,5 of 57,1
IGF2R,REC,LNM,8 of 67,5 of 57,1
IGF2R,REC,PT,8 of 67,8 of 77,1
JAK3,PT,LNM,8 of 77,5 of 57,1
JAK3,REC,LNM,7 of 67,5 of 57,1
JAK3,REC,PT,7 of 67,8 of 77,1
PRKDC,PT,LNM,8 of 77,5 of 57,1
PRKDC,REC,LNM,7 of 67,5 of 57,1
PRKDC,REC,PT,7 of 67,8 of 77,1
CSF1R,PT,LNM,7 of 77,5 of 57,1
CSF1R,REC,LNM,5 of 67,5 of 57,1
CSF1R,REC,PT,5 of 67,7 of 77,1
EP300,PT,LNM,5 of 77,4 of 57,1
MAML1,PT,LNM,6 of 77,4 of 57,1
MAML1,REC,LNM,7 of 67,4 of 57,1
MAML1,REC,PT,7 of 67,6 of 77,1
NCOR2,PT,LNM,6 of 77,5 of 57,1
NCOR2,REC,LNM,6 of 67,5 of 57,1
NCOR2,REC,PT,6 of 67,6 of 77,1
FANCI,PT,LNM,6 of 77,5 of 57,1
FANCI,REC,LNM,5 of 67,5 of 57,1
FANCI,REC,PT,5 of 67,6 of 77,1
KEL,PT,LNM,7 of 77,4 of 57,1
KEL,REC,LNM,5 of 67,4 of 57,1
KEL,REC,PT,5 of 67,7 of 77,1
LAG3,PT,LNM,6 of 77,4 of 57,1
LAG3,REC,LNM,5 of 67,4 of 57,1
LAG3,REC,PT,5 of 67,6 of 77,1
MAP3K4,PT,LNM,5 of 77,5 of 57,1
MAP3K4,REC,LNM,5 of 67,5 of 57,1
MAP3K4,REC,PT,5 of 67,5 of 77,1
MYO18A,REC,PT,4 of 67,5 of 77,1
GNAQ,PT,LNM,6 of 77,4 of 57,1
GNAQ,REC,LNM,4 of 67,4 of 57,1
GNAQ,REC,PT,4 of 67,6 of 77,1
ATRX,PT,LNM,5 of 77,4 of 57,1
ATRX,REC,LNM,5 of 67,4 of 57,1
ATRX,REC,PT,5 of 67,5 of 77,1
PMS2,PT,LNM,6 of 77,4 of 57,1
PMS2,REC,LNM,3 of 67,4 of 57,1
PMS2,REC,PT,3 of 67,6 of 77,1
DOCK2,PT,LNM,5 of 77,4 of 57,1
DOCK2,REC,LNM,4 of 67,4 of 57,1
DOCK2,REC,PT,4 of 67,5 of 77,1
FGFR3,PT,LNM,5 of 77,3 of 57,1
FGFR3,REC,LNM,5 of 67,3 of 57,1
FGFR3,REC,PT,5 of 67,5 of 77,1
GATA4,PT,LNM,5 of 77,3 of 57,1
GATA4,REC,LNM,5 of 67,3 of 57,1
GATA4,REC,PT,5 of 67,5 of 77,1
